rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
14100,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,14104,"[""25"",""50"",""34""]",,,
4800,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,18905,"[""25"",""50"",""34""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,2,2.0.0,19908,"[""25"",""50"",""34""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,3,2.0.0,21910,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,4,2.0.0,22914,"[""25"",""50"",""34""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,5,2.0.0,24917,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,6,2.0.0,25920,"[""25"",""50"",""34""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,7,2.0.0,27922,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,8,2.0.0,28927,"[""25"",""50"",""34""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,9,2.0.0,30930,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,10,2.0.0,31933,"[""25"",""50"",""34""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,11,2.0.0,33937,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,12,2.0.0,34940,"[""25"",""50"",""34""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,13,2.0.0,36942,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,14,2.0.0,37945,"[""25"",""50"",""34""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,15,2.0.0,39947,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,40951,"[""25"",""50"",""34""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,42954,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,18,2.0.0,43957,"[""25"",""50"",""34""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,19,2.0.0,45959,"[""25"",""50"",""34""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,20,2.0.0,46962,"[""25"",""50"",""34""]",,,
