rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
15859,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,15860,"[""14"",""16"",""85""]",,,
7066,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,22927,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,2,2.0.0,23930,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,3,2.0.0,25933,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,4,2.0.0,26937,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,5,2.0.0,28940,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,6,2.0.0,29944,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,7,2.0.0,31946,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,8,2.0.0,32949,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,9,2.0.0,34952,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,10,2.0.0,35954,"[""14"",""16"",""85""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,11,2.0.0,37954,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,12,2.0.0,38956,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,13,2.0.0,40957,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,14,2.0.0,41959,"[""14"",""16"",""85""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,15,2.0.0,43960,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,44962,"[""14"",""16"",""85""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,46963,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,18,2.0.0,47966,"[""14"",""16"",""85""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,19,2.0.0,49967,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,20,2.0.0,50969,"[""14"",""16"",""85""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,21,2.0.0,52970,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,22,2.0.0,53972,"[""14"",""16"",""85""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,23,2.0.0,55974,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,24,2.0.0,56976,"[""14"",""16"",""85""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,25,2.0.0,58977,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,26,2.0.0,59980,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,27,2.0.0,61983,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,28,2.0.0,62986,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,29,2.0.0,64988,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,30,2.0.0,65991,"[""14"",""16"",""85""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,31,2.0.0,67992,"[""14"",""16"",""85""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,32,2.0.0,68995,"[""14"",""16"",""85""]",,,
