rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
16681,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,16685,"[""19"",""54"",""40""]",,,
11504,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,28190,"[""19"",""54"",""40""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,2,2.0.0,29195,"[""19"",""54"",""40""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,3,2.0.0,31219,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,4,2.0.0,32238,"[""19"",""54"",""40""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,5,2.0.0,34243,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,6,2.0.0,35255,"[""19"",""54"",""40""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,7,2.0.0,37268,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,8,2.0.0,38271,"[""19"",""54"",""40""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,9,2.0.0,40274,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,10,2.0.0,41280,"[""19"",""54"",""40""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,11,2.0.0,43285,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,12,2.0.0,44289,"[""19"",""54"",""40""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,13,2.0.0,46300,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,14,2.0.0,47302,"[""19"",""54"",""40""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,15,2.0.0,49314,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,16,2.0.0,50318,"[""19"",""54"",""40""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,17,2.0.0,52323,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,18,2.0.0,53332,"[""19"",""54"",""40""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,19,2.0.0,55339,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,20,2.0.0,56350,"[""19"",""54"",""40""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,21,2.0.0,58367,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,22,2.0.0,59381,"[""19"",""54"",""40""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,23,2.0.0,61388,"[""19"",""54"",""40""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,24,2.0.0,62397,"[""19"",""54"",""40""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,25,2.0.0,64413,"[""19"",""54"",""40""]",observation,,
