rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
6888,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,6890,"[""50"",""50"",""50""]",,,
13540,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,20432,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,2,2.0.0,21436,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,3,2.0.0,23440,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,4,2.0.0,24445,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,5,2.0.0,26449,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,6,2.0.0,27453,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,7,2.0.0,29457,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,8,2.0.0,30462,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,9,2.0.0,32466,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,10,2.0.0,33470,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,11,2.0.0,35474,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,12,2.0.0,36478,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,13,2.0.0,38481,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,14,2.0.0,39485,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,15,2.0.0,41489,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,42494,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,44497,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,18,2.0.0,45501,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,19,2.0.0,47505,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,20,2.0.0,48509,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,21,2.0.0,50513,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,22,2.0.0,51517,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,23,2.0.0,53520,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,24,2.0.0,54524,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,25,2.0.0,56527,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,26,2.0.0,57531,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,27,2.0.0,59534,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,28,2.0.0,60539,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,29,2.0.0,62542,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,30,2.0.0,63547,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,31,2.0.0,65550,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,32,2.0.0,66554,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,33,2.0.0,68557,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,34,2.0.0,69561,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,35,2.0.0,71564,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,36,2.0.0,72569,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,37,2.0.0,74572,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,38,2.0.0,75576,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,39,2.0.0,77580,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,40,2.0.0,78584,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,41,2.0.0,80587,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,42,2.0.0,81591,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,43,2.0.0,83595,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,44,2.0.0,84599,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,45,2.0.0,86602,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,46,2.0.0,87606,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,47,2.0.0,89610,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,48,2.0.0,90615,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,49,2.0.0,92618,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,50,2.0.0,93622,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,51,2.0.0,95625,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,52,2.0.0,96630,"[""50"",""50"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,53,2.0.0,98633,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,54,2.0.0,99637,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,55,2.0.0,101641,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,56,2.0.0,102645,"[""50"",""50"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,57,2.0.0,104648,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,58,2.0.0,105652,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,59,2.0.0,107655,"[""50"",""50"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,60,2.0.0,108659,"[""50"",""50"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,61,2.0.0,110662,"[""50"",""50"",""50""]",observation,,
5662,"<h3>Production Instructions</h3>  <p>Next, you will be shown the same objects again.   Please name these objects like you saw in the observation stage.   This will repeat several times.</p>",0,html-button-response,62,2.0.0,116327,"[""50"",""50"",""50""]",,,
11210,imagesDupe/object2.jpg,0,image-button-response,63,2.0.0,127539,"[""50"",""50"",""50""]",production,"[""tas"",""qar""]",tas
1360,imagesDupe/object2.jpg,0,image-button-response,64,2.0.0,128902,"[""50"",""50"",""50""]",,,
1147,imagesDupe/object4.jpg,1,image-button-response,65,2.0.0,130052,"[""50"",""50"",""50""]",production,"[""cal"",""buv""]",buv
962,imagesDupe/object4.jpg,0,image-button-response,66,2.0.0,131016,"[""50"",""50"",""50""]",,,
1513,imagesDupe/object4.jpg,0,image-button-response,67,2.0.0,132531,"[""50"",""50"",""50""]",production,"[""buv"",""cal""]",buv
875,imagesDupe/object4.jpg,0,image-button-response,68,2.0.0,133408,"[""50"",""50"",""50""]",,,
1043,imagesDupe/object4.jpg,0,image-button-response,69,2.0.0,134454,"[""50"",""50"",""50""]",production,"[""buv"",""cal""]",buv
