rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
6576,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,6589,"[""6"",""50"",""33""]",,,
7606,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,14198,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,2,2.0.0,15212,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,3,2.0.0,17226,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,4,2.0.0,18254,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,5,2.0.0,20256,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,6,2.0.0,21262,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,7,2.0.0,23265,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,8,2.0.0,24270,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,9,2.0.0,26274,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,10,2.0.0,27281,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,11,2.0.0,29285,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,12,2.0.0,30290,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,13,2.0.0,32292,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,14,2.0.0,33296,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,15,2.0.0,35298,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,16,2.0.0,36302,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,17,2.0.0,38305,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,18,2.0.0,39310,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,19,2.0.0,41314,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,20,2.0.0,42319,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,21,2.0.0,44325,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,22,2.0.0,45330,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,23,2.0.0,47332,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,24,2.0.0,48335,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,25,2.0.0,50338,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,26,2.0.0,51342,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,27,2.0.0,53345,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,28,2.0.0,54350,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,29,2.0.0,56354,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,30,2.0.0,57360,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,31,2.0.0,59364,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,32,2.0.0,60369,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,33,2.0.0,62373,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,34,2.0.0,63379,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,35,2.0.0,65382,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,36,2.0.0,66388,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,37,2.0.0,68392,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,38,2.0.0,69398,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,39,2.0.0,71400,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,40,2.0.0,72406,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,41,2.0.0,74408,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,42,2.0.0,75413,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,43,2.0.0,77416,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,44,2.0.0,78422,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,45,2.0.0,80424,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,46,2.0.0,81431,"[""6"",""50"",""33""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,47,2.0.0,83435,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,48,2.0.0,84440,"[""6"",""50"",""33""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,49,2.0.0,86443,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,50,2.0.0,87448,"[""6"",""50"",""33""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,51,2.0.0,89451,"[""6"",""50"",""33""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,52,2.0.0,90455,"[""6"",""50"",""33""]",,,
