rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
82547,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,82548,"[""0"",""100"",""0""]",,,
2491,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,85041,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,2,2.0.0,86045,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,3,2.0.0,88048,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,4,2.0.0,89054,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,5,2.0.0,91057,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,6,2.0.0,92062,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,7,2.0.0,94067,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,8,2.0.0,95072,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,9,2.0.0,97076,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,10,2.0.0,98081,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,11,2.0.0,100085,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,12,2.0.0,101089,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,13,2.0.0,103093,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,14,2.0.0,104097,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,15,2.0.0,106100,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,16,2.0.0,107104,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,17,2.0.0,109108,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,18,2.0.0,110113,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,19,2.0.0,112116,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,20,2.0.0,113120,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,21,2.0.0,115124,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,22,2.0.0,116128,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,23,2.0.0,118132,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,24,2.0.0,119136,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,25,2.0.0,121140,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,26,2.0.0,122144,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,27,2.0.0,124147,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,28,2.0.0,125152,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,29,2.0.0,127155,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,30,2.0.0,128159,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,31,2.0.0,130163,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,32,2.0.0,131167,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,33,2.0.0,133170,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,34,2.0.0,134175,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,35,2.0.0,136178,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,36,2.0.0,137182,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,37,2.0.0,139186,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,38,2.0.0,140190,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,39,2.0.0,142194,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,40,2.0.0,143197,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,41,2.0.0,145200,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,42,2.0.0,146205,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,43,2.0.0,148209,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,44,2.0.0,149214,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,45,2.0.0,151217,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,46,2.0.0,152221,"[""0"",""100"",""0""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,47,2.0.0,154224,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,48,2.0.0,155228,"[""0"",""100"",""0""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,49,2.0.0,157232,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,50,2.0.0,158237,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,51,2.0.0,160240,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,52,2.0.0,161245,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,53,2.0.0,163249,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,54,2.0.0,164252,"[""0"",""100"",""0""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,55,2.0.0,166256,"[""0"",""100"",""0""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,56,2.0.0,167261,"[""0"",""100"",""0""]",,,
