rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
158257,<h3>Welcome to the experiment</h3>   <p style='text-align:left'>This experiment is designed to test your perceptual word learning boundaries.  By clicking the option below you consent to participate in the expeirment.</p>,0,html-button-response,0,2.0.0,158261,"[""29"",""20"",""18""]",,,
2625,<h3>Observation Instructions</h3>  <p>You will observe three objects being named several times.   Just sit back and watch.</p>,0,html-button-response,1,2.0.0,160887,"[""29"",""20"",""18""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,2,2.0.0,161892,"[""29"",""20"",""18""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,3,2.0.0,163896,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,4,2.0.0,164900,"[""29"",""20"",""18""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,5,2.0.0,166903,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,6,2.0.0,167908,"[""29"",""20"",""18""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,7,2.0.0,169912,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,8,2.0.0,170917,"[""29"",""20"",""18""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,9,2.0.0,172921,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,10,2.0.0,173926,"[""29"",""20"",""18""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,11,2.0.0,175929,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,12,2.0.0,176933,"[""29"",""20"",""18""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,13,2.0.0,178937,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,14,2.0.0,179941,"[""29"",""20"",""18""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,15,2.0.0,181944,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,16,2.0.0,182949,"[""29"",""20"",""18""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,17,2.0.0,184952,"[""29"",""20"",""18""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,18,2.0.0,185956,"[""29"",""20"",""18""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,19,2.0.0,187959,"[""29"",""20"",""18""]",observation,,
